,roi,ratio,value
116,IOG,1.5,0.03912337242845283
117,IOG,1.5,0.0014423724957002362
118,IOG,1.5,0.04753588119526568
119,IOG,1.5,0.05811475217666923
120,IOG,1.5,0.11176252630638563
121,IOG,1.5,0.019598639676175734
122,IOG,1.5,0.08692403651079911
123,IOG,1.5,0.07398972640189148
124,IOG,1.5,0.2003874802446945
125,IOG,1.5,0.03707897613777289
126,IOG,1.5,0.07582705847985705
127,IOG,1.5,0.2594373348533358
128,IOG,1.5,0.11691586191879387
129,IOG,1.5,0.08667089710246131
130,IOG,1.5,0.0845458082281572
131,IOG,1.5,0.028123344804445016
132,IOG,1.5,0.0691825821139197
133,IOG,1.5,0.0265838026817158
134,IOG,1.5,0.06464650512026039
135,IOG,1.5,0.07075889846884
136,IOG,1.5,0.033520665826548474
137,IOG,1.5,0.038933313830698466
138,IOG,1.5,0.07906142828953233
139,IOG,1.5,0.058867778999767306
140,IOG,1.5,0.12338657319329475
141,IOG,1.5,0.1431413111421499
142,IOG,1.5,0.06026091273726292
143,IOG,1.5,0.025627283710211612
144,IOG,1.5,0.10475911841322019
145,IOG,1.5,0.007670676105953085
146,IOG,1.5,0.2890753837927437
147,IOG,1.5,0.0991487054916172
148,IOG,1.5,0.14627657204177844
149,IOG,1.5,0.10609342787146703
150,IOG,1.5,0.037805738892779696
151,IOG,1.5,0.08281277138467692
152,IOG,1.5,0.00869617280805124
153,IOG,1.5,0.046275539948713924
154,IOG,1.5,0.09806021872828846
155,IOG,1.5,0.047473824219220195
156,IOG,1.5,0.19609713569186688
157,IOG,1.5,0.11709476151246387
158,IOG,1.5,0.027895846887092155
159,IOG,1.5,0.04208629989184568
160,IOG,1.5,0.07590730974045212
161,IOG,1.5,0.08057270662094451
162,IOG,1.5,0.05688751107174768
163,IOG,1.5,0.14061977276422508
164,IOG,1.5,0.0802948526400423
165,IOG,1.5,0.06382778130038501
166,IOG,1.5,0.16486803706128206
167,IOG,1.5,0.07155766857969403
168,IOG,1.5,0.04396155334355843
169,IOG,1.5,0.15531985341058618
170,IOG,1.5,0.07211485130247246
171,IOG,1.5,0.2450270144188456
172,IOG,1.5,0.06064029287960604
173,IOG,1.5,0.05517404829613884
174,IOG,1.5,0.054744628227820114
175,IOG,1.5,0.02133856209755969
176,IOG,1.5,0.11837624860747292
177,IOG,1.5,0.15642897454937343
178,IOG,1.5,0.23581606117985499
