,roi,ratio,n_voxels,gain,rf_increase,value,b_units
147,IOG,1,2,1.0,0.0,0.023484301783805124,1
148,IOG,1,2,1.0,0.0,8.734574893499094,1
149,IOG,1,2,1.0,0.0,16.07427024786149,1
150,IOG,1,2,1.0,0.0,2.7571205158493166,1
151,IOG,1,2,1.0,0.0,0.7155662741439863,1
152,IOG,1,2,1.0,0.0,1.7640510920849417,1
153,IOG,1,2,1.0,0.0,3.5413458368608772,1
154,IOG,1,2,1.0,0.0,0.5855447705505743,1
155,IOG,1,2,1.0,0.0,0.9234588380909698,1
156,IOG,1,2,1.0,0.0,3.184477204224211,1
157,IOG,1,2,1.0,0.0,8.525819166313092,1
158,IOG,1,2,1.0,0.0,3.6010890897203716,1
159,IOG,1,2,1.0,0.0,7.029605583376157,1
160,IOG,1,2,1.0,0.0,7.176587095361265,1
161,IOG,1,2,1.0,0.0,0.5419315483152731,1
162,IOG,1,2,1.0,0.0,9.281405318080475,1
163,IOG,1,2,1.0,0.0,0.1421460730448117,1
164,IOG,1,2,1.0,0.0,0.12484937773338789,1
165,IOG,1,2,1.0,0.0,4.432372035263269,1
166,IOG,1,2,1.0,0.0,0.07738460867130277,1
167,IOG,1,2,1.0,0.0,0.7718599609307223,1
168,IOG,1,2,1.0,0.0,0.19260106914304748,1
169,IOG,1,2,1.0,0.0,6.133878656993098,1
170,IOG,1,2,1.0,0.0,2.2489130912929323,1
171,IOG,1,2,1.0,0.0,0.16909223639196472,1
172,IOG,1,2,1.0,0.0,3.539523878540149,1
173,IOG,1,2,1.0,0.0,17.035085556670314,1
174,IOG,1,2,1.0,0.0,540.3309039793774,1
175,IOG,1,2,1.0,0.0,15.397032459329957,1
176,IOG,1,2,1.0,0.0,0.1360510828570482,1
177,IOG,1,2,1.0,0.0,0.5782047404392425,1
178,IOG,1,2,1.0,0.0,0.7173750651638023,1
179,IOG,1,2,1.0,0.0,0.25025843052638475,1
180,IOG,1,2,1.0,0.0,0.16616356132011184,1
181,IOG,1,2,1.0,0.0,1.3884592176900847,1
182,IOG,1,2,1.0,0.0,1.2229789799832596,1
183,IOG,1,2,1.0,0.0,0.5496583103039623,1
