ratio,roi,b_units,value,lo,hi
8,IOG,5,0.011074165522941982,0.009773787034096402,0.012065128824201552
8,mFus,1,0.023329913831304765,0.021475208758657348,0.025560676442406713
8,mFus,2,0.011007439319429248,0.010338614751148192,0.012225276568276187
8,mFus,3,0.008471907167493922,0.007690715287599639,0.009250267147785003
8,mFus,4,0.005998071683392723,0.005393693388044181,0.006648387780703787
8,mFus,5,0.0038257923867411874,0.003363256349587505,0.004704122256636287
8,pFus,1,0.025523389547293683,0.022950843736196384,0.028026216575427264
8,pFus,2,0.011070967139596499,0.009929260494210616,0.012032201436560605
8,pFus,3,0.007427979081626105,0.006639411891574457,0.008281062790342896
8,pFus,4,0.00526956268354882,0.004831773373428988,0.005750983898345042
8,pFus,5,0.003524663050529713,0.002955621433198602,0.0038949805066593613
9,IOG,1,0.05154961432844024,0.04523102375883105,0.054292039961229964
9,IOG,2,0.023379067077162773,0.02124115172528973,0.025628388577850998
9,IOG,3,0.018234597379606615,0.01567176569155428,0.019853993028395807
9,IOG,4,0.012963057927786261,0.012134426497736082,0.014759597813363555
9,IOG,5,0.011133898356444995,0.010421680337689617,0.011941193967541355
9,mFus,1,0.023175655815709864,0.020715893762881285,0.024840970834395692
9,mFus,2,0.010773392345223613,0.009568829636239213,0.011952673469672399
9,mFus,3,0.007681572496593599,0.006919916571305678,0.008166017958625356
9,mFus,4,0.0047466982586005825,0.004326907245451792,0.005317004536860202
9,mFus,5,0.003136026440259014,0.002746040556234016,0.003874141114383529
9,pFus,1,0.02372073756127519,0.021201806785378308,0.02664091050791966
9,pFus,2,0.009711390658204467,0.008746795838142363,0.010740769671797311
9,pFus,3,0.006145170172491529,0.005542297783394165,0.006661052357195678
9,pFus,4,0.004592359094950371,0.003764360244226845,0.005008581524881664
9,pFus,5,0.002375383185249362,0.0018267861777618807,0.002955621433198514
