ratio,roi,rf_increase,value,lo,hi
3,pFus,0,0.13736839554958058,0.1109461436759527,0.1695426203477857
3,pFus,0.1,0.08903327637622234,0.07460859639267563,0.10094570073411696
3,pFus,0.2,0.06784242793414394,0.05811268397751903,0.07824217144990316
3,pFus,0.3,0.04749061333685255,0.04238299742518597,0.05622962737874633
3,pFus,0.4,0.04018747780260049,0.03465362024710587,0.046540580010331546
3,pFus,0.5,0.032199146154416686,0.028099359659607068,0.03714687676176577
4,IOG,0,0.43518005739633436,0.3609216116141209,0.5346511819589036
4,IOG,0.1,0.2935149737386459,0.2519751350884686,0.3402436951404419
4,IOG,0.2,0.20786416737312308,0.17330236501605656,0.23198815921195165
4,IOG,0.3,0.15037433122731708,0.12991794002517842,0.1708387412746661
4,IOG,0.4,0.1064440336190488,0.09205730851982954,0.1200891253652375
4,IOG,0.5,0.08648941338745422,0.07269775915260022,0.09740063051620872
4,mFus,0,0.12305034483015703,0.1068011840312953,0.13746210410700518
4,mFus,0.1,0.07883787091286085,0.07270614281453101,0.095678554047901307
4,mFus,0.2,0.05737936394399294,0.05004513687034446,0.06380947469345367
4,mFus,0.3,0.041804659143608924,0.03673962050135323,0.04699087150566187
4,mFus,0.4,0.03418231004924338,0.0315868308962387,0.03806957108540619
4,mFus,0.5,0.028401648185807288,0.026149134598178848,0.032156885887600295
4,pFus,0,0.08948464674988935,0.0815993029805926,0.10685519924893269
4,pFus,0.1,0.059630296130167446,0.05102043241904743,0.06712224897127725
4,pFus,0.2,0.042104923241665815,0.036119631216108616,0.04894124066560801
4,pFus,0.3,0.036955342006917614,0.03153811691744377,0.042928007327158915
4,pFus,0.4,0.026621348583884676,0.02467185675461266,0.03084593164889539
4,pFus,0.5,0.023336211975311508,0.02131541611852717,0.0268919863301173
5,IOG,0,0.3211420494105031,0.26641575229285464,0.3811739668062064
5,IOG,0.1,0.21391788940876919,0.1808921663785326,0.2522509480688813
5,IOG,0.2,0.15594156166422465,0.13117489641345725,0.17722078921873408
5,IOG,0.3,0.10882325770418691,0.0968834679480312,0.12252566138589611
5,IOG,0.4,0.08030996765963022,0.06617590182369633,0.09169418011224421
5,IOG,0.5,0.06426436047803381,0.056576641809735984,0.07107812789118594
5,mFus,0,0.08663520995780266,0.07519964824375926,0.09959982650917192
5,mFus,0.1,0.0627635587231625,0.053176142625701465,0.06984873712531713
5,mFus,0.2,0.04492552538940957,0.04055546102920648,0.04884463038506452
5,mFus,0.3,0.03606288611132974,0.03231970451205411,0.03945951882193155
5,mFus,0.4,0.028704511399360196,0.02555742833437897,0.03240903794882995
5,mFus,0.5,0.022025254737357516,0.01993255948133532,0.024821556582885238
5,pFus,0,0.06428177213499858,0.05889190712987613,0.07544830295857702
5,pFus,0.1,0.04398740138910902,0.04023752336684976,0.052340284521509954
5,pFus,0.2,0.03356229323085933,0.02889280750735203,0.039239863500023335
5,pFus,0.3,0.024092290877406677,0.020018689349105452,0.030628879023549067
5,pFus,0.4,0.021341590947986558,0.01972029392092073,0.025425705873073964
5,pFus,0.5,0.01871608252147164,0.01624963428259829,0.021606102037333253
6,IOG,0,0.2585194434644735,0.22930101098167738,0.2992381374589522
6,IOG,0.1,0.17104917439740908,0.1361603451982687,0.1909612398098095
6,IOG,0.2,0.11896890365295837,0.10203189965907711,0.13533442548382257
6,IOG,0.3,0.08236005072458762,0.07018895716484307,0.09265856726264411
6,IOG,0.4,0.06192287176362948,0.05580677917151512,0.06926300117009783
6,IOG,0.5,0.0485462928301403,0.04385950604004491,0.05313211828921445
6,mFus,0,0.07987600006523704,0.07282701860860007,0.08687549528220107
6,mFus,0.1,0.05214556896966257,0.04734346952176087,0.05712052472332826
6,mFus,0.2,0.03885258847557757,0.03375683919880143,0.04416267739230666
6,mFus,0.3,0.0315323297731411,0.027652021123623284,0.03473513196516989
6,mFus,0.4,0.023964883223638645,0.021940519647595108,0.027513635010121787
6,mFus,0.5,0.020479781932942386,0.01871344019131487,0.02346099627506984
6,pFus,0,0.051623430847304995,0.04477940141176442,0.06097146866357487
6,pFus,0.1,0.03765813385628436,0.03181142927142503,0.04303871645897872
6,pFus,0.2,0.026647728451428085,0.023950477119965827,0.031241905625415192
6,pFus,0.3,0.021882092691231134,0.0196666856493728,0.024708393519098756
6,pFus,0.4,0.017901733782231193,0.016455844651756705,0.020364024381908284
6,pFus,0.5,0.017379205033427617,0.015198433016893931,0.020020061299692547
7,IOG,0,0.2144438527055177,0.18254022737673192,0.24765112196215133
7,IOG,0.1,0.1311356524371538,0.11116666474856056,0.15252162999505056
7,IOG,0.2,0.09125689108577738,0.07621839024910952,0.10195164111973695
7,IOG,0.3,0.06329997775718282,0.05594775182105876,0.07394835459990134
7,IOG,0.4,0.047893783356251704,0.04208966618611747,0.055470872486686924
7,IOG,0.5,0.04264529410459332,0.035708228362200306,0.048995895916682845
7,mFus,0,0.06196948663058699,0.0536154784818075,0.06978842739167396
