,roi,ratio,n_voxels,gain,rf_increase,value,b_units
50,IOG,1,2,1.0,0.0,7.201064289596197,1
51,IOG,1,2,1.0,0.0,147.03275066586684,1
52,IOG,1,2,1.0,0.0,4.001422888905628,1
53,IOG,1,2,1.0,0.0,0.507863943563855,1
54,IOG,1,2,1.0,0.0,1.7914034113606074,1
55,IOG,1,2,1.0,0.0,217.1185331659232,1
56,IOG,1,2,1.0,0.0,638.7663813958433,1
57,IOG,1,2,1.0,0.0,1.7803253588380634,1
58,IOG,1,2,1.0,0.0,12.651657150885871,1
59,IOG,1,2,1.0,0.0,0.013980515310575991,1
60,IOG,1,2,1.0,0.0,13.333894118036635,1
61,IOG,1,2,1.0,0.0,50.62138257992875,1
62,IOG,1,2,1.0,0.0,0.31038740147192706,1
63,IOG,1,2,1.0,0.0,0.5432224425845023,1
64,IOG,1,2,1.0,0.0,1.3885848557183702,1
65,IOG,1,2,1.0,0.0,0.5427760802216863,1
66,IOG,1,2,1.0,0.0,8.426021606350346,1
67,IOG,1,2,1.0,0.0,10.234132259176157,1
68,IOG,1,2,1.0,0.0,1.1319574634844867,1
69,IOG,1,2,1.0,0.0,10.56670813035331,1
70,IOG,1,2,1.0,0.0,28.758031615386884,1
71,IOG,1,2,1.0,0.0,12.50212030945185,1
72,IOG,1,2,1.0,0.0,0.6905740221112536,1
73,IOG,1,2,1.0,0.0,0.5333516060114348,1
74,IOG,1,2,1.0,0.0,15.08234212421843,1
75,IOG,1,2,1.0,0.0,1.5324682939332397,1
76,IOG,1,2,1.0,0.0,2.6010032175595836,1
77,IOG,1,2,1.0,0.0,17.059093463778538,1
78,IOG,1,2,1.0,0.0,0.4299042756544411,1
79,IOG,1,2,1.0,0.0,0.18425915453895564,1
80,IOG,1,2,1.0,0.0,0.05095431630321576,1
81,IOG,1,2,1.0,0.0,0.21183963117420934,1
82,IOG,1,2,1.0,0.0,17.474280004081727,1
83,IOG,1,2,1.0,0.0,0.37204263730506004,1
84,IOG,1,2,1.0,0.0,5.580611628804987,1
85,IOG,1,2,1.0,0.0,0.5839137587654247,1
86,IOG,1,2,1.0,0.0,0.6035673946446793,1
87,IOG,1,2,1.0,0.0,1.8690755792066938,1
88,IOG,1,2,1.0,0.0,1.6598555515176585,1
89,IOG,1,2,1.0,0.0,11.472583368863987,1
90,IOG,1,2,1.0,0.0,4.5890273810488305,1
91,IOG,1,2,1.0,0.0,40.57398179823813,1
92,IOG,1,2,1.0,0.0,0.24029623239154105,1
93,IOG,1,2,1.0,0.0,1.8799893765826476,1
94,IOG,1,2,1.0,0.0,1.6104023964379912,1
95,IOG,1,2,1.0,0.0,0.28387457378137704,1
96,IOG,1,2,1.0,0.0,7.5285980352103,1
97,IOG,1,2,1.0,0.0,10.082595685283943,1
98,IOG,1,2,1.0,0.0,0.16753225265024982,1
99,IOG,1,2,1.0,0.0,0.7357363855137781,1
100,IOG,1,2,1.0,0.0,25.423959941265046,1
101,IOG,1,2,1.0,0.0,9.521621755357016,1
102,IOG,1,2,1.0,0.0,8.940858087533286,1
103,IOG,1,2,1.0,0.0,2.010074511682881,1
104,IOG,1,2,1.0,0.0,0.4154801083722405,1
105,IOG,1,2,1.0,0.0,0.14772539588768419,1
106,IOG,1,2,1.0,0.0,0.35365719188276723,1
107,IOG,1,2,1.0,0.0,0.8059070463175675,1
108,IOG,1,2,1.0,0.0,0.07176785816944076,1
109,IOG,1,2,1.0,0.0,0.5054279140861172,1
110,IOG,1,2,1.0,0.0,0.430652923866039,1
111,IOG,1,2,1.0,0.0,36.862367195956416,1
112,IOG,1,2,1.0,0.0,1.2942531594720994,1
113,IOG,1,2,1.0,0.0,6.442229181798401,1
114,IOG,1,2,1.0,0.0,1.5684784253313926,1
115,IOG,1,2,1.0,0.0,7.061281896892034,1
116,IOG,1,2,1.0,0.0,772.932779675105,1
117,IOG,1,2,1.0,0.0,22.168686414488153,1
118,IOG,1,2,1.0,0.0,0.07858792554095614,1
119,IOG,1,2,1.0,0.0,1.5739598329019442,1
120,IOG,1,2,1.0,0.0,30.190387012815748,1
121,IOG,1,2,1.0,0.0,8.235033637327268,1
122,IOG,1,2,1.0,0.0,0.7817420380158829,1
123,IOG,1,2,1.0,0.0,6.914350162749904,1
124,IOG,1,2,1.0,0.0,10.780363947056113,1
125,IOG,1,2,1.0,0.0,0.5789835632332095,1
