ratio,roi,rf_increase,value,lo,hi
5,IOG,0,0.10672830860159373,0.09250531828738587,0.12442476609414059
5,IOG,0.1,0.07513012360172502,0.06476683268348227,0.09011852701360616
5,IOG,0.2,0.058081651569426865,0.050482122858276385,0.06812815463474062
5,IOG,0.3,0.045529485800919,0.041408710027584734,0.051693236000767716
5,IOG,0.4,0.035860169048318825,0.032213836380119903,0.04206927730365167
5,IOG,0.5,0.032571541121400455,0.029537546890770535,0.036585446153209175
5,mFus,0,0.034801579978693375,0.030152362253838,0.0385993571310775
5,mFus,0.1,0.026815984067282778,0.02466893662702516,0.02920178751225701
5,mFus,0.2,0.023733920161181053,0.021727626937676332,0.025522415756862274
5,mFus,0.3,0.018597121091961502,0.016769768122920234,0.020192519754447073
5,mFus,0.4,0.015446161429761672,0.014243274227829221,0.017421678716409292
5,mFus,0.5,0.013256913482164057,0.012077331875659354,0.014490572699336348
5,pFus,0,0.05030119946803462,0.04499163845678823,0.055506448972414156
5,pFus,0.1,0.03791289640467971,0.03314846850504857,0.042495715726445234
5,pFus,0.2,0.031218909526375183,0.028541804725116946,0.03455647461522565
5,pFus,0.3,0.023796968446493524,0.021282344607316636,0.026936828850356732
5,pFus,0.4,0.0208930029865549,0.01875034329806271,0.022528273107509586
5,pFus,0.5,0.018180713584736427,0.016189978976326243,0.019978825025436693
6,IOG,0,0.0829628693176322,0.0743158404435376,0.09228027756478871
6,IOG,0.1,0.056315043896092445,0.050933492980984554,0.06684926319605737
6,IOG,0.2,0.04580180321746277,0.04080946477223662,0.05156619056997795
6,IOG,0.3,0.03696970474454281,0.03351211254433728,0.0404557169631614
6,IOG,0.4,0.033432263808414193,0.030044453969092298,0.03572225528787669
6,IOG,0.5,0.026294295007329625,0.02429339711344904,0.029933767004790317
6,mFus,0,0.031121092515908645,0.028000495710632452,0.034284700528794315
6,mFus,0.1,0.024641362074715817,0.0221544460187268,0.026693651481959926
6,mFus,0.2,0.019620515022396916,0.017478068149063906,0.02132765675906501
6,mFus,0.3,0.015693523591238854,0.014468788026822407,0.017604032894121907
