ratio,roi,gain,value,lo,hi
4,IOG,3.5,0.2755545788020276,0.24712194442475588,0.3108667578537384
4,IOG,4,0.2710248128667251,0.2432951958004817,0.30078462217496926
4,mFus,1,0.11960678305131961,0.10141823169663441,0.1319398647190251
4,mFus,1.5,0.09846209068022856,0.0816913370164303,0.11141780075746778
4,mFus,2,0.09089249230444288,0.07911456698830802,0.1027769633525588
4,mFus,2.5,0.08083593917019669,0.06998837080213302,0.09386254503167946
4,mFus,3,0.07929171500180146,0.07189312982049738,0.09137523741629852
4,mFus,3.5,0.08507265197146206,0.06777687900407806,0.094402095028674
4,mFus,4,0.08092548266937954,0.07204341945869547,0.09261326413034776
4,pFus,1,0.08726605081271899,0.07560025933401648,0.10216356170072677
4,pFus,1.5,0.07060691412181963,0.05953016593132277,0.08219478953962756
4,pFus,2,0.06703539214214078,0.05586938260304969,0.0770990374312183
4,pFus,2.5,0.06339483413271253,0.05617191290593254,0.07541753860353721
4,pFus,3,0.0632519257034043,0.052590687587800306,0.07234792880759199
4,pFus,3.5,0.06004005924945507,0.05506931056906458,0.0715454166997549
4,pFus,4,0.06140170123162657,0.055109064176868755,0.08129318903043437
5,IOG,1,0.32242311158904136,0.2779100717039679,0.37085885605680646
5,IOG,1.5,0.2834538240062071,0.2548087004009965,0.32726754171453226
5,IOG,2,0.24920798475454523,0.22246418142817648,0.2851456534100249
5,IOG,2.5,0.22753217849448207,0.20141403984797263,0.2582311323233551
5,IOG,3,0.21062938244117735,0.1822910546495906,0.2454180692057043
5,IOG,3.5,0.21314912134666048,0.17526754624198126,0.23394473159239362
5,IOG,4,0.19922133860079128,0.17060275528033148,0.22350446542781124
5,mFus,1,0.08642617031443262,0.07678482411935655,0.10270985373588316
5,mFus,1.5,0.0759010691235689,0.06398051805337299,0.08421493761328984
5,mFus,2,0.06795570612543639,0.060877917426787276,0.07324186880854464
5,mFus,2.5,0.06828741637697575,0.05880814800953152,0.07621276245238269
5,mFus,3,0.06676052169617674,0.060488387797772845,0.07336863956638597
5,mFus,3.5,0.06591509537135637,0.059794554068729334,0.07636088515118042
5,mFus,4,0.06591517061178868,0.06085127171826765,0.08207817283488526
5,pFus,1,0.0659373589989637,0.056618713205598005,0.07823737690725244
5,pFus,1.5,0.048107132038282846,0.04253762373726707,0.05902014603544863
5,pFus,2,0.0492039512403768,0.04325189050846387,0.05707589045250678
5,pFus,2.5,0.05032897725332973,0.04167411312926428,0.05911401164196986
5,pFus,3,0.04816373701004835,0.041296070102511906,0.05531825659895207
5,pFus,3.5,0.052042838584549854,0.04295982149059706,0.057841340661259094
5,pFus,4,0.05139305120824614,0.04432676723590804,0.057150796017223844
6,IOG,1,0.2483327925931283,0.22145035601334384,0.2967795296659775
6,IOG,1.5,0.21107580805281256,0.1752617905786258,0.23759232137904338
6,IOG,2,0.17530036918270087,0.1491187769949357,0.21553131094797195
6,IOG,2.5,0.16020259571951043,0.1417763726758085,0.1884698550154294
6,IOG,3,0.16789069775536059,0.140693298885551,0.19070027140814055
6,IOG,3.5,0.15544441639949055,0.13648040097835318,0.17773712768667008
6,IOG,4,0.15698745099943684,0.12981276608504122,0.1791292885498213
6,mFus,1,0.07645120673472479,0.06581607025426867,0.08558252351856357
6,mFus,1.5,0.06281910619863076,0.05543902054065535,0.07046653676855136
6,mFus,2,0.05774018106832235,0.05068964924492919,0.0624559191780955
6,mFus,2.5,0.05728853378671458,0.05351475958088514,0.062236910863578465
6,mFus,3,0.0571913156141306,0.05079289929063105,0.062286751935577596
6,mFus,3.5,0.057749071295989614,0.05425566622308868,0.0619135009152548
