ratio,roi,b_units,value,lo,hi
4,mFus,4,0.022025815393694994,0.019566039810448084,0.024748609583113517
4,mFus,5,0.018831986801457593,0.016476718377765622,0.02099635174833052
4,pFus,1,0.08679670566534525,0.07398323852045453,0.10048293026591813
4,pFus,2,0.02930830297985563,0.026476587417224612,0.03390205756946452
4,pFus,3,0.018666542790633588,0.016176952800696656,0.02045955133547953
4,pFus,4,0.011798966339095933,0.010649982450117272,0.012781784445845512
4,pFus,5,0.009602884067461006,0.008519376852588178,0.01072383361827966
5,IOG,1,0.3408041269708733,0.28432729436925575,0.3693643961099982
5,IOG,2,0.09625179135434232,0.07870771939936871,0.10969928011165153
5,IOG,3,0.0457067737445399,0.04089817765751715,0.05055009278372552
5,IOG,4,0.031208303914584883,0.02800061857636349,0.03544406031078483
5,IOG,5,0.023266535946900552,0.02165192574858041,0.025672218486475246
5,mFus,1,0.09170979335862012,0.07729813298733983,0.10030445097079115
5,mFus,2,0.04130044513035115,0.037106871251153806,0.04539133633903754
5,mFus,3,0.027371298837432036,0.024774253729242312,0.030058460070353874
5,mFus,4,0.020606684647720114,0.017921395223368525,0.022079155945504764
5,mFus,5,0.016787999271154375,0.01465974918926134,0.018606922486485083
5,pFus,1,0.06309018148999632,0.05577450971523912,0.0770012993170151
5,pFus,2,0.02478007839826679,0.022315908492268395,0.027460686892357627
5,pFus,3,0.014940285020558823,0.013608916017284558,0.016556757908064233
5,pFus,4,0.010106623075835618,0.00934408329035194,0.011760688598413867
5,pFus,5,0.008181602083464225,0.007479422124278823,0.008918872024444302
6,IOG,1,0.23261100114945557,0.20152097680671294,0.27116675597415385
6,IOG,2,0.0763823318012331,0.06879302313922832,0.08435908405268859
6,IOG,3,0.035383609865548275,0.031498909788841414,0.040003351301525325
6,IOG,4,0.026907889612625663,0.02383381143205176,0.03007184491667221
6,IOG,5,0.020205569426072163,0.018223358643107028,0.023640903408898295
6,mFus,1,0.07808605337372543,0.07222594757463818,0.08495506783549273
6,mFus,2,0.034748753329442376,0.03108028793060151,0.03842589296102332
6,mFus,3,0.02241285261081469,0.021023024724561905,0.024396259468441713
6,mFus,4,0.016500655886129742,0.015078104099130305,0.018614471415042015
6,mFus,5,0.014192746793098312,0.012486607049249539,0.015612170287974972
6,pFus,1,0.050703844218892125,0.043506639006729304,0.05749445347411734
6,pFus,2,0.020708238212593842,0.018825546347456243,0.022977707993576048
6,pFus,3,0.01183963180422464,0.01074033046758143,0.013197196393024094
6,pFus,4,0.008624637347297699,0.0077118781620159485,0.009499463591058108
6,pFus,5,0.006039039467871996,0.00539735412072698,0.007229032592559356
7,IOG,1,0.19714072271437175,0.17282684257760692,0.23544319112501752
7,IOG,2,0.0524839419047943,0.04547991869036767,0.05898217635143607
7,IOG,3,0.029553449344278768,0.025871785471339698,0.03319709703397135
7,IOG,4,0.023853502063920756,0.022177314244896593,0.026080114234819735
7,IOG,5,0.017510212043293377,0.016037674874846506,0.019290546382173666
7,mFus,1,0.06786320064728119,0.05852824506412402,0.07797425244301809
7,mFus,2,0.031293765841574894,0.02786325004122668,0.03408095429695117
7,mFus,3,0.02130971503563342,0.019180776398295754,0.024174965302693252
7,mFus,4,0.015552483330940978,0.01423745998325484,0.017922319773769974
7,mFus,5,0.014208315248326957,0.012502866565973929,0.016141009008246835
7,pFus,1,0.0404489162731807,0.03719176055155293,0.04583621968806233
7,pFus,2,0.015896764981079423,0.014265453370406496,0.017897065977397614
7,pFus,3,0.010038185269337656,0.008531247428675526,0.011004044692168896
7,pFus,4,0.007240990381285003,0.006302981061524951,0.007884418404629702
7,pFus,5,0.004758956664873909,0.0041927776860187175,0.005139451264406004
8,IOG,1,0.15619265549260786,0.13107809209482338,0.17487638598044614
8,IOG,2,0.04328685263149542,0.038463582052523176,0.04859061554473745
8,IOG,3,0.02670730332327466,0.02429248026902,0.029971754645774687
8,IOG,4,0.019925689230396663,0.018332795588238967,0.021538154309434954
8,IOG,5,0.014948197871676115,0.01333765581729536,0.016749403985424776
8,mFus,1,0.05479141762694764,0.04837918943297884,0.058794523795038446
8,mFus,2,0.026292966613845545,0.023616013156673447,0.029176490475460833
8,mFus,3,0.01970199282712991,0.01793152207016839,0.02242094324097835
8,mFus,4,0.013957231183314456,0.012548572608566122,0.015605502200163528
8,mFus,5,0.012069593957180172,0.011504595954132803,0.013171706905688729
8,pFus,1,0.034463494650012,0.030608488021299673,0.03817750959958778
8,pFus,2,0.014584776279025966,0.013232319091804116,0.015797231037208148
8,pFus,3,0.009029557981580998,0.00816781578665034,0.009833425518939079
8,pFus,4,0.006191914007358728,0.005566723313219543,0.006924201379536336
8,pFus,5,0.0036982608975559125,0.0029206384441375364,0.004800289084388305
9,IOG,1,0.12505128289519718,0.11051027048731116,0.14575514891586067
9,IOG,2,0.03757027789190988,0.03482465049222479,0.041730423709469014
9,IOG,3,0.02318197704863893,0.021293659649785107,0.026420066018210214
9,IOG,4,0.017285601394493116,0.01619547410159525,0.019103018879157153
9,IOG,5,0.012933888816563592,0.011913554439015149,0.014266943323649877
9,mFus,1,0.050333812208913885,0.044848688311578386,0.05651664167176673
9,mFus,2,0.024288060174993797,0.022215970442219648,0.0274136983443794
9,mFus,3,0.018116659903976595,0.0161150694024638,0.019896872429690106
9,mFus,4,0.015081640325258275,0.012873341521076505,0.01618765061201963
9,mFus,5,0.011332242170517093,0.010171549661635134,0.012189483164299953
9,pFus,1,0.03241721358165933,0.027892964576756628,0.0349614136698464
9,pFus,2,0.01203895552735009,0.011004357066606832,0.013621450100164835
9,pFus,3,0.0072273900643840695,0.005883288637157626,0.007911940726163918
9,pFus,4,0.005008581524881793,0.004642838825495206,0.00560560996629292
9,pFus,5,0.0025552711850515483,0.0018267861777619327,0.003015742182665107
