ratio,roi,gain,value,lo,hi
4,IOG,1.5,0.13251971723992167,0.10985428929854538,0.1513542128450807
4,IOG,2,0.1226641642643869,0.10882061777202978,0.13740278375115045
4,IOG,2.5,0.11750602849183102,0.10426337138115925,0.13401631953165027
4,IOG,3,0.1235169706199604,0.11446677787039763,0.1313818957434621
4,IOG,3.5,0.12915970705825283,0.11299940613744841,0.14257762801795684
4,IOG,4,0.12680890820802662,0.11670888308640417,0.13891931502945196
4,mFus,1,0.04556536111420881,0.0413361993287404,0.05038263614142402
4,mFus,1.5,0.03809055495222974,0.033451449213569864,0.04324194546697396
4,mFus,2,0.037956171075799516,0.0332766532934005,0.04361420868871614
4,mFus,2.5,0.04195699075962897,0.03561733900282845,0.046926328361868226
4,mFus,3,0.045067757069856273,0.037517029563437915,0.05049118507269772
4,mFus,3.5,0.04889475824710006,0.04335747979145443,0.054211115699718274
4,mFus,4,0.05264769981472042,0.04306120082522953,0.05546334063635172
4,pFus,1,0.06404732089937036,0.05306420096385197,0.07230414431791635
4,pFus,1.5,0.05506475620045636,0.04842530655526786,0.06303546826016247
4,pFus,2,0.05448168413206145,0.04884605997019259,0.06226286074980329
4,pFus,2.5,0.06075980328646121,0.05593354492380403,0.06672622969137261
4,pFus,3,0.058298685783944086,0.05364020642594769,0.06660288025410036
4,pFus,3.5,0.06373888072341555,0.05929919614800377,0.07200422398862946
4,pFus,4,0.0632152633916678,0.05583388818100386,0.07365158640384736
5,IOG,1,0.11041545654548783,0.0954441577146346,0.12720149594688213
5,IOG,1.5,0.08879782901392896,0.08044561123321331,0.10442665209964831
5,IOG,2,0.08777676182731228,0.07540084264106722,0.09675059033094063
5,IOG,2.5,0.0920533787861047,0.08186875992982526,0.10170067155495575
5,IOG,3,0.09612183069499289,0.08618469703185089,0.10630986514913116
5,IOG,3.5,0.09319026769702757,0.08401595650411021,0.11051747548289305
5,IOG,4,0.09701360296168846,0.08772288361009031,0.11019242196196469
5,mFus,1,0.035555816001256804,0.03285402426948157,0.039281873994296154
5,mFus,1.5,0.03010682810805407,0.027335891559810043,0.03286764907543989
5,mFus,2,0.03136190514070387,0.02708815627656973,0.03691586210592704
5,mFus,2.5,0.033597941696921846,0.02910643326326671,0.0380032214627459
5,mFus,3,0.033961648065481555,0.02830298437824534,0.03544198329675487
