subject,session,morph_type,morph,pos,ecc,rt,response_identity,third_option
s01,1,ab,100,5,7,0.70119,b,0
s01,1,ac,17,3,7,1.3023,c,0
s01,1,ac,50,1,7,1.102,a,0
s01,1,ab,100,3,7,0.65117,b,0
s01,1,ac,83,3,7,1.8867,b,1
s01,1,bc,0,3,7,0.60112,b,0
s01,1,ac,83,7,7,0.70129,a,0
s01,1,ac,100,1,7,0.7347,b,1
s01,1,ac,100,3,7,1.102,b,1
s01,1,ac,0,7,7,1.0185,a,0
s01,1,ac,0,5,7,1.1353,a,0
s01,1,ab,33,7,7,0.83484,a,0
s01,1,ac,33,3,7,1.0184,c,0
s01,1,bc,83,1,7,0.80143,b,0
s01,1,ac,67,3,7,2.4043,c,0
s01,1,ab,67,3,7,0.61774,b,0
s01,1,ab,50,1,7,1.0686,b,0
s01,1,ab,0,7,7,0.93499,a,0
s01,1,bc,0,1,7,0.70125,b,0
s01,1,ab,50,3,7,1.1354,c,1
s01,1,ab,100,1,7,0.61773,b,0
s01,1,bc,67,3,7,0.90162,b,0
s01,1,bc,50,1,7,1.3524,b,0
s01,1,ab,67,7,7,0.93497,c,1
s01,1,ab,0,3,7,1.0353,a,0
s01,1,ac,0,1,7,0.86826,a,0
s01,1,ac,33,5,7,0.9851,a,0
s01,1,bc,100,5,7,0.80139,c,0
s01,1,bc,50,3,7,0.68456,b,0
s01,1,bc,100,7,7,0.86821,c,0
s01,1,ab,33,3,7,1.0184,a,0
s01,1,ab,17,3,7,0.70128,a,0
s01,1,ac,17,3,7,1.0519,a,0
s01,1,bc,67,7,7,0.78473,c,0
s01,1,ac,17,5,7,0.9016,a,0
s01,1,ac,0,3,7,0.90162,a,0
s01,1,ac,83,3,7,1.8533,c,0
s01,1,bc,67,1,7,2.0871,a,1
s01,1,bc,0,7,7,1.3357,c,0
s01,1,bc,33,7,7,0.73464,c,0
s01,1,ac,17,7,7,0.718,c,0
s01,1,ab,83,3,7,0.63444,b,0
s01,1,ac,67,3,7,0.88489,c,0
s01,1,ab,100,7,7,0.70125,b,0
s01,1,ac,50,7,7,0.96809,c,0
s01,1,ab,67,7,7,0.93505,a,0
s01,1,ab,50,5,7,0.76805,b,0
s01,1,bc,33,5,7,0.85167,b,0
s01,1,ab,83,1,7,0.68458,b,0
s01,1,ab,83,5,7,0.61781,b,0
s01,1,ab,67,3,7,0.56762,b,0
s01,1,ac,0,5,7,0.90167,a,0
s01,1,bc,100,1,7,0.90161,b,0
s01,1,bc,17,1,7,0.56774,b,0
s01,1,bc,17,7,7,0.63453,b,0
s01,1,bc,67,3,7,1.7364,b,0
s01,1,ac,50,3,7,1.6195,c,0
s01,1,bc,50,1,7,0.58438,b,0
s01,1,ab,50,7,7,0.86822,c,1
s01,1,ac,100,7,7,0.8014,c,0
s01,1,ab,100,1,7,0.66785,b,0
s01,1,bc,50,3,7,0.80143,b,0
s01,1,ab,33,1,7,1.5361,b,0
s01,1,ac,0,7,7,0.88496,a,0
s01,1,ac,67,5,7,0.90167,c,0
s01,1,ab,17,3,7,1.0352,a,0
s01,1,bc,17,3,7,0.73467,b,0
s01,1,bc,50,5,7,0.66787,b,0
s01,1,ab,100,5,7,0.56768,b,0
s01,1,ab,83,7,7,0.73463,b,0
s01,1,ac,100,3,7,1.1354,b,1
s01,1,bc,0,5,7,0.60104,b,0
s01,1,ac,100,5,7,0.90162,c,0
s01,1,ac,33,7,7,0.80146,a,0
s01,1,bc,100,3,7,0.63452,b,0
s01,1,ab,67,1,7,0.63447,b,0
s01,1,ac,100,1,7,2.4377,b,1
s01,1,bc,83,5,7,1.9033,c,0
s01,1,bc,50,7,7,0.71799,c,0
s01,1,ab,0,1,7,1.2355,a,0
s01,1,ab,0,3,7,0.81813,a,0
s01,1,ab,17,7,7,0.8849,a,0
s01,1,bc,100,7,7,0.68455,c,0
s01,1,ac,50,1,7,1.0853,a,0
s01,1,ab,33,7,7,1.7365,c,1
s01,1,ac,0,1,7,0.71794,a,0
s01,1,bc,83,7,7,0.78469,c,0
s01,1,ab,50,3,7,0.63451,b,0
s01,1,bc,17,5,7,0.55098,b,0
s01,1,bc,33,1,7,0.63446,b,0
s01,1,ab,50,1,7,1.1354,b,0
s01,1,ac,67,7,7,0.76803,c,0
s01,1,ab,17,1,7,0.71795,c,1
s01,1,ac,33,5,7,0.70127,c,0
s01,1,ac,33,1,7,1.5194,c,0
s01,1,ac,67,1,7,0.90165,c,0
s01,1,bc,33,3,7,0.55094,b,0
s01,1,bc,83,3,7,0.48429,b,0
s01,1,ac,33,3,7,0.85151,c,0
s01,1,ac,50,5,7,0.75132,c,0
s01,1,ac,83,7,7,0.58441,c,0
s01,1,ac,83,1,7,1.3191,a,0
s01,1,ab,0,7,7,1.8366,c,1
s01,1,bc,67,5,7,0.9684,b,0
s01,1,ab,17,5,7,1.4526,a,0
s01,1,ab,0,5,7,0.70127,a,0
s01,1,ac,17,1,7,0.70129,a,0
