subject,session,morph_type,pos_num,pse
s08,1,ab,315,50.759308704536515
s09,1,ab,315,48.428317341424034
s10,1,ab,315,57.810074974900175
s01,1,bc,45,93.05084169143063
s02,1,bc,45,112.63553198418012
s03,1,bc,45,87.05473098807113
s04,1,bc,45,93.98357940355623
s05,1,bc,45,76.26960791725132
s06,1,bc,45,59.027093032634156
s07,1,bc,45,78.33221868679762
s08,1,bc,45,55.055183946720206
s09,1,bc,45,64.82057089097808
s10,1,bc,45,86.3720279244288
s01,1,bc,135,89.83587461864178
s02,1,bc,135,130.17103698457507
s03,1,bc,135,80.0578271396457
s04,1,bc,135,106.50480793451489
s05,1,bc,135,92.62694208368583
s06,1,bc,135,80.26802731652816
s07,1,bc,135,91.12866749827208
s08,1,bc,135,36.205671673211164
s09,1,bc,135,61.809992553153165
s10,1,bc,135,88.39339710627152
s01,1,bc,225,38.39846901279559
s02,1,bc,225,60.37445208626416
s03,1,bc,225,64.34069645568681
s04,1,bc,225,22.372595725307292
s05,1,bc,225,40.18398104534076
s06,1,bc,225,59.706156201006955
s07,1,bc,225,64.31375675594397
s08,1,bc,225,42.1669909257088
s09,1,bc,225,70.00387367654041
s10,1,bc,225,53.78110149300819
s01,1,bc,315,32.66575438983891
s02,1,bc,315,53.837959502073936
s03,1,bc,315,53.0749617991316
s04,1,bc,315,9.991696268364805
s05,1,bc,315,63.761226457404454
s06,1,bc,315,28.956922189038746
s07,1,bc,315,50.18746720577586
s08,1,bc,315,18.46111632944868
s09,1,bc,315,52.36710217824453
s10,1,bc,315,46.96046787560689
s01,2,ac,45,97.09161427452412
s02,2,ac,45,105.36401047480201
s03,2,ac,45,65.74548824393898
s04,2,ac,45,99.58448035368755
s05,2,ac,45,95.73028703125391
s06,2,ac,45,53.471487767900456
s07,2,ac,45,79.52058876502012
s08,2,ac,45,49.8447135809773
s09,2,ac,45,65.44412505200883
s10,2,ac,45,66.48073925540683
s01,2,ac,135,57.10430165949458
s02,2,ac,135,82.32586782254745
s03,2,ac,135,66.4415632793286
s04,2,ac,135,51.391250312279276
s05,2,ac,135,96.86713760426471
s06,2,ac,135,74.49561072641998
s07,2,ac,135,63.95412508796478
s08,2,ac,135,48.974251089053425
s09,2,ac,135,67.3321048646074
s10,2,ac,135,77.99291342275089
s01,2,ac,225,39.806556376806526
s02,2,ac,225,9.125244950322262
s03,2,ac,225,62.34410175494534
s04,2,ac,225,21.945799824309248
s05,2,ac,225,17.178467336213608
s06,2,ac,225,23.991978742793208
s07,2,ac,225,21.61522394865612
s08,2,ac,225,42.82784503934333
s09,2,ac,225,45.9681321298469
s10,2,ac,225,50.204392918870255
s01,2,ac,315,26.626149453787882
s02,2,ac,315,5.40697920786031
s03,2,ac,315,48.54963153676936
s04,2,ac,315,7.1937721005689
s05,2,ac,315,47.902398391221446
s06,2,ac,315,-1.8963141488929196
s07,2,ac,315,22.528348176414365
s08,2,ac,315,32.09206444312284
s09,2,ac,315,8.622762505201756
s10,2,ac,315,41.749978067724044
s01,2,ab,45,57.88633949235853
s02,2,ab,45,56.09862620440756
s03,2,ab,45,53.08299461655424
s04,2,ab,45,66.9420137357505
s05,2,ab,45,57.48229904076693
s06,2,ab,45,64.39768775811
s07,2,ab,45,61.17742137562355
s08,2,ab,45,62.30681997446444
s09,2,ab,45,54.260863872976095
s10,2,ab,45,57.981924804525264
s01,2,ab,135,52.707619648062426
s02,2,ab,135,36.674674607515634
s03,2,ab,135,50.29625276049936
s04,2,ab,135,39.867895424278544
s05,2,ab,135,43.141863276245246
s06,2,ab,135,56.62115787336708
s07,2,ab,135,70.51037206016795
s08,2,ab,135,53.848744392061626
s09,2,ab,135,59.411373981861466
s10,2,ab,135,53.995884383659096
s01,2,ab,225,58.971217811372014
s02,2,ab,225,50.416784409802176
s03,2,ab,225,47.05227387820327
s04,2,ab,225,57.88560081585697
s05,2,ab,225,58.731116250730665
s06,2,ab,225,45.37962141771941
s07,2,ab,225,25.211349962660346
s08,2,ab,225,41.254465952536506
s09,2,ab,225,49.72530344262303
s10,2,ab,225,46.69630486675977
s01,2,ab,315,63.67578387475281
s02,2,ab,315,58.95178562132666
s03,2,ab,315,45.82451587375391
s04,2,ab,315,83.42689534270639
s05,2,ab,315,66.1943808304873
s06,2,ab,315,62.18677015791232
s07,2,ab,315,34.22127920756615
s08,2,ab,315,55.945562152949336
s09,2,ab,315,46.9223840282543
s10,2,ab,315,52.87828778980776
s01,2,bc,45,92.21861266594331
s02,2,bc,45,94.6880234456422
s03,2,bc,45,83.37424609026408
s04,2,bc,45,94.11795383938508
s05,2,bc,45,100.7062080660233
s06,2,bc,45,54.189753128429814
s07,2,bc,45,73.12295730592854
s08,2,bc,45,30.868830673298454
s09,2,bc,45,63.0000884161109
s10,2,bc,45,85.82645354399446
s01,2,bc,135,98.00999403804252
s02,2,bc,135,128.0350470037918
s03,2,bc,135,84.53350348816556
s04,2,bc,135,137.9458787302502
s05,2,bc,135,105.71315927543992
s06,2,bc,135,87.88007164576004
s07,2,bc,135,44.88536675198575
s08,2,bc,135,27.811133590233254
s09,2,bc,135,50.324789021748586
s10,2,bc,135,81.78481232776288
s01,2,bc,225,15.714987272959824
s02,2,bc,225,35.584939550690656
s03,2,bc,225,53.44641016187618
s04,2,bc,225,23.812300302050694
s05,2,bc,225,14.715716999892066
s06,2,bc,225,71.2396669003804
s07,2,bc,225,87.25274461427486
s08,2,bc,225,45.51900500666471
s09,2,bc,225,60.95720601583088
s10,2,bc,225,44.69142565676168
s01,2,bc,315,29.401354964392993
s02,2,bc,315,17.353755516895788
s03,2,bc,315,42.94526493788079
s04,2,bc,315,6.028069714351965
s05,2,bc,315,31.667161438071805
s06,2,bc,315,19.103975597354804
s07,2,bc,315,72.11034542729932
s08,2,bc,315,30.59238118938544
s09,2,bc,315,50.14527367748729
s10,2,bc,315,44.27210137302789
